mobile_weekday1_full|monday|lundi|poniedziałek|maandag|Montag|lunedì|lunes|segunda-feira|Méindeg
mobile_weekday2_full|tuesday|mardi|wtorek|dinsdag|Dienstag|martedì|martes|terça-feira|Dënschdeg
mobile_weekday3_full|wednesday|mercredi|środa|woensdag|Mittwoch|mercoledì|miércoles|quarta-feira|Mëttwoch
mobile_weekday4_full|thursday|jeudi|czwartek|donderdag|Donnerstag|giovedì|jueves|quinta-feira|Donneschdeg
mobile_weekday5_full|friday|vendredi|piątek|vrijdag|Freitag|venerdì|viernes|sexta-feira|Freideg
mobile_weekday6_full|saturday|samedi|sobota|zaterdag|Samstag|sabato|sábado|sábado|Samschdeg
mobile_weekday7_full|sunday|dimanche|niedziela|zondag|Sonntag|domenica|domingo|domingo|Sonndeg
mobile_weekday1_abr|mon|lun|pn|maa|mon|lun|lun|seg|Méin
mobile_weekday2_abr|tue|mar|wt|din|die|mar|mar|ter|Dëns
mobile_weekday3_abr|wed|mer|śr|woe|mit|mer|mié|qua|Mëtt
mobile_weekday4_abr|thu|jeu|czw|don|don|gio|jue|qui|Donn
mobile_weekday5_abr|fri|ven|pt|vri|fre|ven|vie|sex|Fre
mobile_weekday6_abr|sat|sam|so|zat|sam|sab|sáb|sáb|Sams
mobile_weekday7_abr|sun|dim|nie|zon|son|dom|dom|dom|Sonn
mobile_weekday1_min|mo|lu|pn|ma|mo|lu|lu|se|Mé
mobile_weekday2_min|tu|ma|wt|di|di|ma|ma|te|Dë
mobile_weekday3_min|wd|me|śr|wo|mi|me|mi|qua|Më
mobile_weekday4_min|th|je|cz|do|do|gi|ju|qui|Do
mobile_weekday5_min|fr|ve|pt|vr|fr|ve|vi|sex|Fr
mobile_weekday6_min|sa|sa|so|za|sa|sa|sá|sáb|Sa
mobile_weekday7_min|su|di|n|zo|so|do|do|dom|So
mobile_month1_full|january|janvier|styczeń|januari|januar|Gennaio|Enero|janeiro|Januar
mobile_month2_full|february|février|Luty|februari|februar|febbraio|febrero|fevereiro|Februar
mobile_month3_full|march|mars|marzec|maart|märz|marzo|marzo|março|Mäerz
mobile_month4_full|april|avril|Kwiecień|april|april|aprile|abril|abril|Abrëll
mobile_month5_full|may|mai|maj|mei|mai|maggio|mayo|maio|Mee
mobile_month6_full|june|juin|Czerwiec|juni|juni|Giugno|junio|junho|Juni
mobile_month7_full|july|juillet|Lipiec|juli|juli|Luglio|julio|julho|Juli
mobile_month8_full|august|août|sierpień|augustus|august|agosto|agosto|agosto|August
mobile_month9_full|september|septembre|Wrzesień|september|september|settembre|septiembre|setembro|September
mobile_month10_full|october|octobre|Październik|oktober|oktober|ottobre|octubre|outubro|Oktober
mobile_month11_full|november|novembre|Listopad|november|november|novembre|noviembre|novembro|November
mobile_month12_full|december|décembre|Grudzień|december|dezember|dicembre|diciembre|dezembro|Dezember
mobile_month1_abr|jan|jan|sty|jan|jan|Gen|Ene|jan|Jan
mobile_month2_abr|feb|fév|Lu|feb|feb|feb|feb|fev|Feb
mobile_month3_abr|mar|mar|mar|mrt|mar|mar|mar|mar|Mär
mobile_month4_abr|apr|avr|Kw|apr|apr|apr|abr|abr|Abr
mobile_month5_abr|may|mai|maj|mei|mai|mag|may|mai|Mee
mobile_month6_abr|jun|jun|Cze|jun|jun|Giu|jun|jun|Jun
mobile_month7_abr|jul|jul|Lip|jul|jul|Lug|jul|jul|Jul
mobile_month8_abr|aug|aoû|sie|aug|aug|ago|ago|ago|Aug
mobile_month9_abr|sep|sep|Wrz|sep|sep|set|sep|set|Sep
mobile_month10_abr|oct|oct|Pa|okt|okt|ott|oct|out|Okt
mobile_month11_abr|nov|nov|Lis|nov|nov|nov|nov|nov|Nov
mobile_month12_abr|dec|déc|Gru|dec|dec|dic|dic|dez|Dez
male|Mr.|M.|Pan|Mr|Herr|Sig|Señor|Sr.|Här
female|Mrs.|Mme|Pani|Mvr|Frau|Sig.ra|Señora|Sra.|Madame
sa|aS|SA|SA|NV|aG|SA|SA|SA|SA
sprl|Ltd|Sprl|Sp.z o.o.|Bvba|Pgbh|Ltd|SRL|SARL|S.à r.l.
miss|Miss|Mlle|Tęsknić|Juffr|Ms|Sig.na|Señorita|Menina|Joffer
boy|Boy|Garçon|Chłopak|Jhr|Junge|Ragazzo|Niño|Rapaz|Bouf
girl|Girl|Fille|Córka|Dchtr|Mädchen|Ragazza|Niña|Rapariga|Meedchen
othergender|other|autre|inna|anders|anders|altro|otro|outro|aner
ok|Ok|Ok|Ok|Ok|Ok|Ok|Ok|Ok|Ok
yes|Yes|Oui|Tak|Ja|Ja|Sì|Si|Sim|Jo
no|No|Non|Nie|Nee|Nein|No|No|Não|Nee
or|or|ou|lub|of|oder|o|o|ou|oder
fromdate|from|du|od|vanaf|von|dal|desde|de|vun
todate|to|au|do|tot|bis|a|a|até|bis
ondate|on|le|do|op|am|il|el|o|um
fromtime|from|de|o|van|von|da|desde|de|vun
at|at|à|o|om|um|a|a|a|um
for|for|pour|dla|voor|für|per|para|para|fir
abr days|days|jrs|dni|dagen|Tage|gg.|días|dias|Deeg
abr day|day|jr|dzień|dag|Tag|g.|día|dia|Dag
weekday|weekday|jour|dzień|weekdag|wochentag|feriale|día|dia|Wochendag
weekdays|weekdays|jours|dzień|weekdagen|wochentage|feriali|días|dias|Wochendeeg
local time|local time|heure locale|czas lokalny|lokale tijd|Ortszeit|ora locale|hora local|horário local|Lokalzäit
account preferences|Settings & Preferences|Réglages & Préférences|Ustawienia i Ustawienia|instellingen & Voorkeuren|Einstellungen & Präferenzen |Impostazioni e Preferenze|Configuraciones y Preferencias|Configurações e Preferências|Astellungen & Präferenzen
error occured|an error occured|une erreur est survenue|wystąpił błąd|er is een fout opgetreden|ein Fehler ist aufgetreten|si è verificato un errore|ocurrió un error|um erro ocorreu|e Feeler ass geschitt
account settings changed|account settings were changed|les réglages de votre agenda ont changés|ustawienia konta zostały zmienione|accountinstellingen zijn gewijzigd|Kontoeinstellungen wurden geändert|le impostazioni dell'account sono state modificate|la configuración de la cuenta fue cambiada|as configurações da conta foram alteradas|Kontoeinstellungen goufen geännert
sw update title|application update|mise à jour de l'application|aktualizacja oprogramowania|software-update|Software-Aktualisierung|aggiornamento del software|actualización de software|atualização de software|Applikatiounsaktualiséierung
please update|a new version of Mobminder is available, please follow the link below to update your application|une nouvelle version de Mobminder est disponible, SVP suivez le lien suivant pour mettre à jour votre application|dostępna jest nowa wersja Mobmindera, skorzystaj z poniższego łącza, aby zaktualizować swoją aplikację|er is een nieuwe versie van Mobminder beschikbaar, volg de onderstaande link om uw applicatie bij te werken|Eine neue Version von Mobminder ist verfügbar. Bitte folgen Sie dem Link unten, um Ihre Anwendung zu aktualisieren|è disponibile una nuova versione di Mobminder, segui il link sottostante per aggiornare la tua applicazione|una nueva versión de Mobminder está disponible, siga el enlace a continuación para actualizar su aplicación|uma nova versão do Mobminder está disponível, siga o link abaixo para atualizar seu aplicativo|Eng nei Versioun vu Mobminder ass verfügbar, w.e.g. verfollegt de Link hei ënnen fir Är Uwendung z'aktualiséieren
note|Note|Note|Notatka|Notitie|Notiz|Nota|Nota|Nota|Notiz
alt mandatory|Type a title or select a reference|Indiquez un titre ou choisir une référence|Wpisz tytuł lub wybierz odniesienie|Typ een titel of selecteer een referentie|Titel eingeben oder Referenz auswählen|Indichi un titolo o scelga una referenza|Indique un título o escoja una referencia|Insira um título ou escolha uma referência|Tippt en Titel oder wielt eng Referenz
copy chat thread|copy entire chat|copier la conversation|skopiuj rozmowę|gesprek kopieren|Konversation kopieren|copia conversazione|copiar conversación|copiar conversa
copy phylactery|copy this speech bubble|copier ce phylactère|skopiuj ten dymek|kopieer deze tekstballon|Kopieren Sie diese Sprechblase|copia questo fumetto|copia este bocadillo|copie este balão de fala
chat ban evacuate|You have been excluded from this conversation.|Vous avez été exclu de cette conversation.|Zostałeś wykluczony z tej rozmowy.|U bent uitgesloten van dit gesprek.|Sie wurden von diesem Gespräch ausgeschlossen.|Sei stato escluso da questa conversazione.|Ha sido excluido de esta conversación.|Você foi excluído desta conversa.
chat|Chat session|Conversation|Rozmowa|Chatsessie|Unterhaltung|Conversazione|Conversación|Conversa|Chatsëtzung
no chat|No chat|Pas de conversation|Brak rozmowa|Geen chatsessie|Keine Unterhaltungen|Nessuna conversazione|Ninguna conversación|Sem conversa|Keng Chats
answer here|answer here|Répondre ici|Odpowiedź tutaj|Hier aantwoorden|Hier antworten|Rispondere qui|Contestar aquí|Responda aqui|Äntwert hei
archived|archived|archivée|archiwizowane|Gearchiveerd|archiviert|archiviato|Guardado|Guardado|Archivéiert
see archives|see archives|voir les archives|zobacz archiwa|archieven zien|siehe die Archive|vedere gli archivi|ver los archivos|veja os arquivos|kuckt d'Archive
archived chats|archived chats|conversations archivées|zarchiwizowane czaty|gearchiveerde chats|archivierte Chats|chat archiviate|chats archivados|chats arquivados|archivéiert Chats
archived chat|archived chat|conversation archivée|zarchiwizowany czat|gearchiveerde chat|archivierte Chat|chat archiviata|chat archivado|chat arquivado|archivéiert Chat
archived and deleted chats|archived and deleted chats|conversations archivées et effacées|zarchiwizowane i usunięte czaty|gearchiveerde en verwijderde chats|archivierte und gelöschte Chats|chat archiviate ed eliminate|chats archivados y eliminados|bate-papos arquivados e excluídos|archivéiert an geläschte Chats
deleted chat|deleted chat|conversation effacée|usunięty czat|verwijderde chat|Chat gelöscht|chat eliminata|chat eliminado|bate-papo excluído|geläschte Chat
more options|more options|plus d'options|więcej opcji|meer opties|Mehr Optionen|più opzioni|mas opcione|mais opções|Méi Optiounen
account usechat|Use instant messaging|Utiliser la messagerie|Skorzystaj z czatu|Instant messaging gebruiken|Kurzmitteilungen nutzen|Usare la funzione messaggi|Utilizar la mensajería|Usar o serviço de mensagens|Instant Messaging notzen
log me in|log me in|me connecter|zalogować się|inloggen|einloggen |accedere|conectarse|entrar|aloggen
logout current|Close this session|Fermer cette session|Zamknij sesję|Sluit deze sessie|Diese Sitzung schließen|Chiudere questa sessione|Cerrar esta sesión|Encerrar esta sessão|Dës Sessioun zoumaachen
other options|Other options:|autres options:|Inne opcje:|andere opties:|Weitere Optionen|altre opzioni|Otras opciones|Outras opções:|Aner Optiounen:
timeboxing labels|Timeboxing labels|Libellés des blocs horaire|Nazwy pól czasu|Namen van tijd boxen|Titel der Zeitfenster|Formulazione dei blocchi orari|Enunciado de las bandas horarias|Rótulos dos blocos horários|Beschrëftunge vun de Bléck Zäit
display details|Display details|Détails d'affichage|Pokaż szczegóły|Weergavedetails|ansichtsinformationen|Dettagli di visualizzazione|Detalles de visualización|Detalhes da visualização|Weis Detailer
company|Company|Entreprise|Firma|Firma|Firma|azienda|Empresa|Empresa|Entreprise
gender|Title|Civ.|Godność|Gesl.|anspr.|Titolo|Tratamiento|Forma de tratamento|Titel
firstname|First name|Prénom|Imię|Voornaam|Vorname|Nome|Nombre|Nome|Virnumm
lastname|Last name|Nom|Nazwisko|Naam|Nachname|Cognome|apellido|apelido|Familljennumm
residence|Residence|Résidence|Rezydencja|Residentie|Wohnsitz|Residenza|Residencia|Residência|Wunnsëtz
address|address|adresse|adres|adres|adresse|Indirizzo|Dirección|Morada|Adress
zipCode|Zip code|Code postal|Kod pocztowy|Postcode|Postleitzahl|Codice postale|Código postal|Código postal|Postleitzuel
no address|No address|pas d'adresse|Brak adresu|geen adres|Keine Adresse|Nessun indirizzo|Sin direccion|Sem endereço|Keng Adress
name|name|nom|nazwa|naam|Name|nome|nombre|nome|Numm
city|City|Ville|Miejscowość|Stad|Stadt|Città|Ciudad|Localidade|Stad
country|Country|Pays|Województwo|Land|Land|Paese|País|País|Land
email|e-mail|e-mail|e-mail|e-mail|e-mail|e-mail|e-mail|e-mail|E-Mail
no email|Has no e-mail|N'a pas d'e-mail|Nie e-mail|Heeft geen e-mail|Hat keine E-mail|Non ha email|No tiene email|Não tem e-mail|Keng E-Mail
mobile|Mobile number|portable|Komórkowy|GSM|Mobilnummer|Cellulare|Móvil|Telemóvel|Handysnummer
no mobile|No mobile number|pas de portable|Brak telefonu komórkowego|Geen GSM nummer|Kein Mobilnummer|Niente cellulare|Sin móvil|Sem telemóvel|Keng Handysnummer
phone|Phone number|téléphone|Telefon|Telefoon|Telefon|Telefono|Teléfono|Telefone|Telefonsnummer
no phone|no phone number|pas de téléphone|brak telefonu|Geen telefoon nummer|Kein Handy|Nessun telefono|Sin teléfono|Sem telefone|Keng Telefonsnummer
language|language|langue|język|taal|Sprache|lingua|idioma|idioma|Sprooch
birthdate|Birthdate|naissance|Data urodzenia|Geboortedatum|Geburtsdatum|Data di nascita|Fecha de nacimiento|Nascimento|Gebuertsdatum
registration|Registration|Matricule|Znaczek|Register|Registrieren|Matricola|Matrícula|Matrícula|Umeldung
reference|Reference|référence|Odniesienie|Referentie|Referenz|Riferimento|Referencia|Referência|Referenz
cssColor|Color|couleur|Kolor|Kleur|Farbe|Colore|Color|Cor|Faarf
cssPattern|Status|statut|Status|Status|Status|Status|Estado|Estado|Status
prev apps|Previous|Passés|Poprzednie wizyty|Verleden|Vorherige|Passati|Pasados|Passados|Virrunnen
next apps|Planned|Planifiés|Zaplanowane wizyty|Toekomstige|Geplante|Pianificati|Planeados|Planeados|Geplangten
version|version|version|wersja|versie|ausführung|versione|versión|versão|Versioun
appointments|appointments|rendez-vous|nominacje|afspraken|termine|appuntamenti|citas|compromissos|Rendez-vous
communication|Communication|Communication|Komunikat|Communicatie|Kommunikation|Comunicazione|Comunicación|Comunicação|Kommunikatioun
agenda|agenda|agenda|programie|agenda|Tagesordnung|agenda|agenda|agenda|Agenda
audit|Tracking|audit|audyt|Opvolging|audit|audit|auditoría|auditoria|Audit
reservation|appointement|Réservation|rezerwacja|Reservering|Reservierung|Prenotazione|Reserva|Reserva|Reservatioun
appointment|appointement|Rendez-vous|Wizyta|afspraak|Termin|appuntamento|Cita|Compromissos|Rendez-vous
event|Unavailability|Indisponibilité|Brak wolnych terminów|Onbeschikbaarheid|Nichtverfügbarkeit|Indisponibilità|Indisponibilidad|Indisponibilidade|Onverfügbarkeet
none|None|aucun|żaden|Geen|Kein|Nessuno|Ninguno|Nenhum|Keen
none ff|None|aucune|żaden|Geen|Keine|Nessuna|Ninguna|Nenhuma|Keen
default|by default|par défaut|Zaocznie|standaard|standard|predefinito|por defecto|predefinição|Standard
with|with|avec|z|met|mit|con|con|com|mat
resources|resources|ressources|Zasoby|resources|Ressourcen|risorse|recursos|recursos|Ressourcen
workrooms|workrooms|salles de travail|pracownie|werkzalen|arbeitsräume|sale di lavoro|espacios de trabajo|espaços de trabalho|Aarbechtsraim
workplaces|workplaces|postes de travail|stanowiska|werkplaatsen|arbeitsorte|spazi di lavoro|estaciones de trabajo|estações de trabalho|Aarbechtsplazen
classrooms|classrooms|classes de cours|sale lekcyjne|klaslokalen|Klassenräume|aule corsi|clases de cursos|espaço de aulas|Klasseräim
carerooms|care rooms|salles de soin|pokoje zabiegowe|zorgkamers|pflegeräume|sale di trattamenti|salas de tratamientos|salas de tratamento|Pflegeraumen
collaborators|collaborators|collaborateurs|pracownicy|medewerkers|Mitarbeiter|collaboratori|colaboradores|colaboradores|Mataarbechter
assistants|assistants|assistants|asystenci|assistenten|assistenten|assistenti|asistentes|assistentes|Assistenten
rdoctors|doctors|Docteurs|Lekarze|artsen|Ärzte|medici|médicos|médicos|Dokteren
dentists|dentists|dentistes|dentystami|tandartsen|Zahnärzte|dentisti|dentistas|dentistas|Zänndokteren
salesmen|salesmen|commerciaux|sprzedawcy|verkopers|Verkäufer|venditori|gente de ventas|vendedores|Verkeefer
teachers|teachers|professeurs|nauczycielami|leraren|Lehrer|insegnanti|maestros|professores|Schoulmeeschteren
practitioners|practitioners|praticiens|praktycy|behandelaar|Praktiker|praticante|practicante|praticante|Praktikanten
technicians|Technicians|Techniciens|Techników|Technicussen|Techniker|Tecnici|Técnicos|Técnicos|Techniker
consultants|Consultants|Consultants|Konsultanci|Consultants|Berater|Consulenti|Consultores|Consultores|Beroder
instructors|Instructors|Moniteurs|Instruktorzy|Instructeurs|ausbilder|Istruttori|Instructores|Monitores|Moniteuren
experts|Experts|Experts|Eksperci|Deskundigen|Experten|Periti|Peritos|Peritos|Experten
equipments|Equipments|Equipements|Urządzenia|apparaten|Geräte|attrezzature|Equipamientos|Equipamentos|Ausrëschtung
offices|Offices|Bureaux|Biura|Kantoren|Büroräume|Uffici|Oficinas|Secretárias|Büroen
companies|Companies|Entreprises|Firmy|Firmas|Firmen|aziende|Empresas|Empresas|Firmen
tools|Tools|Outils|Narzędzia|Gereedschap|Instrumente|Utensili|Herramientas|Ferramentas|Handwierksgeschir
vehicules|Vehicules|Véhicules|Pojazdów|Voertuigen|Fahrzeuge|Veicoli|Vehículos|Veículos|Gefierer
attendance|attendance|assignations|attendance|Toegewezen|Zuweisung|Convocazioni|asignaciones|atribuições|Präsenz
confirm|Confirm|Confirmer|Potwierdź|Bevestigen|Bestätigen|Confermare|Confirmar|Confirmar|Bestätegen
cancel|Cancel|annuler|anulować|annuleren|abbrechen|Cancellare|Cancelar|anular|Ofbriechen
smapp warn chatquit|Quit conversation ?|Sortir de la conversation ?|Zakończ rozmowę ?|Gesprek verlaten ?|Unterhaltung verlassen ?|Lasciare la conversazione ?|Salir de la conversación ?|Sair da conversa ?|Gespréich verloossen ?
smapp warn chat archive|archive for all participants ?|Sortir tous les participants et archiver ?|Usuń wszystkich uczestników i zarchiwizuj ?|Schakel alle deelnemers uit en archiveer ?|Nehmen Sie alle Teilnehmer heraus und archivieren Sie ?|Elimina tutti i partecipanti e l'archivio ?|Sacar a todos los participantes y archivar ?|Retire todos os participantes e arquive ?|Archiv fir all Participanten ?
status|Status|Statut|Stan|Staat|Status|Status|Estado|Estado|Status
color|Color|Couleur|Kolor|Kleur|Farbe|Colore|Color|Cor|Faarf
tags|Tags|Tags|Tags|Tags|Tags|Tags|Tags|Tags|Tags
dd-mm-yyyy|dd-mm-yyyy|jj-mm-aaaa|dd-mm-yyyy|dd-mm-jjjj|tt-mm-jjjj|gg-mm-aaaa|dd-mm-aaaa|dd-mm-aaaa|dd-mm-yyyy
delete confirm|are you sure you want to delete ?|Etes-vous certain de vouloir supprimer ?|Czy na pewno chcesz usunąć ?|Bent U zeker van te willen schrappen ?|Sind Sie sicher, dass Sie löschen möchten?|È sicuro di volere sopprimere ?|Está seguro de querer borrar ?|Tem a certeza de que deseja apagar?|Sidd Dir sécher datt Dir wëllt läschen?
invalid form|Some fields are not appropriately filled in, please correct them, or cancel|Certains champs ne sont pas correctement remplis, corrigez les ou annuler|Popraw błędnie wypełnione pola lub anuluj|Sommige velden zijn onterecht ingevuld|Einige Felder wurden nicht richtig ausgefüllt, bitte korrigieren oder abbrechen|alcuni campi non sono riempiti correttamente, per favore li corregga o li cancelli|algunas casillas no están llenadas correctamente, por favor corríjalas o cancélelas|alguns campos não foram devidamente preenchidos. Por favor corrija-os ou anule.|E puer Felder sinn net korrekt ausgefëllt, korrigéiert se w.e.g. oder annulléiert
connection failed|The server is unreachable, check your internet connection first, then please try again.|Le serveur est inaccessible, vérifiez votre connexion Internet, puis s'il vous plaît essayer à nouveau.|Serwer jest niedostępny, sprawdź połączenie internetowe, następnie spróbuj ponownie.|De server lijkt onbereikbaar te zijn, controleer dan eerst uw internetverbinding, dan kunt u het opnieuw proberen.|Der Server ist nicht erreichbar, bitte überprüfen Sie Ihre internetverbinding und versuchen Sie es erneut|Il server è inaccessibile, verifichi la Sua connessione internet e provi di nuovo per favore.|El servidor está inaccesible, verifique su conexión a internet e inténtelo de nuevo por favor.|O servidor encontra-se inacessível. Verifique a sua ligação à internet e tente novamente por favor.|De Server ass net erreechbar, kontrolléiert w.e.g. Är Internetverbindung a probéiert nach eng Kéier
no reference for|No reference for|Pas de référence pour|Brak odniesienia do|Geen verwijzing naar|Keine Referenz für|Nessun riferimento per|Ninguna referencia para|Sem referência para|Keng Referenz fir
today|today|aujourd'hui|Dzisiaj|Vandaag|Heute|Oggi|Hoy|Hoje|Haut
yesterday|yesterday|hier|wczoraj|gisteren|gestern|ieri|ayer|ontem|Gëschter
schedule|Schedule|Timing|Harmonogram|afspraak|Uhrzeit|Timing|Planificación|Timing|Zeitplang
duration|Duration|Durée|Jak długo|Duurtijd|Dauer|Durata|Duración|Duração|Dauer
min|min|min|min|min|min|min|min|min|min
data class|Data class|Classe|Dane klasy|Class data|Datenklasse|Classe|Clase|Classe|Donnéeklass
data id|Data id|Identifiant|Identyfikator|Identificatie|Kennung|Identificativo|Nombre de usuario|Identificador|Donnée-Id
created on|Created on|Créé le|Wpis|Invoering op|Erstellt am|Creato il|Creado el|Criado em|Erstallt den
changed on|Updated on|Modifié le|Zmiana|aangepast op|Geändert am|Modificato il|Modificado el|Modificado em|Geännert den
deleted on|Deleted on|Effacé le|Wymazany|Gewist op|Gelöscht am|Cancellato il|Borrado el|apagado em|Geläscht den
rescheduled on|rescheduled on|reporté le|przesuwany|verplaatst op|Verschoben am|Riprogrammato il|aplazado el|comunicado em|Neigeplangt den
created by|Created by|Créé par|Stworzony przez|Invoering door|Erstellt von|Creato da|Creado por|Criado por|Erstallt vun
changed by|Updated by|Modifié par|Edytowany przez|aangepast door|Geändert von|Modificato da|Modificado por|Modificado por|Geännert vun
deleted by|Deleted by|Effacé par|Zdaje przez|Gewist door|Gelöscht von|Cancellato da|Borrado por|apagado por|Geläscht vun
rescheduled by|rescheduled by|reporté par|Przełożony przez|verplaatst door|Verschoben von|Riprogrammato da|aplazado por|relatado por|Neigeplangt vun
deleted|Deleted|Effacé|Wymazany|Gewist|Gelöscht|Cancellato|Borrado|apagado|Geläscht
rescheduled|rescheduled|reporté|rzełożony|verplaatst|Verschoben|Riprogrammato|aplazado|relatado|Neigeplangt
new|New|Nouveau|Nowy|Nieuwe|Neu|Nuovo|Nuevo|Novo|Nei
never|Never|Jamais|Nigdy|Nooit|Niemals|Mai|Nunca|Nunca|Niemols
no one|No one|Personne|Nikt|Niemand|Niemand|Nessuno|Ningún|Pessoa|Keen
