"id","groupId","resourceId"
"863503","51812","15976"
"831336","32092","15976"
"857492","51195","15976"
"831247","32090","15976"
"827209","25399","15976"
"827969","28356","15976"
"827230","25418","15976"
"837193","26730","15976"
"820657","38895","15976"
"820584","38896","15976"
"820600","38897","15976"
"718226","38898","15976"
"718304","38899","15976"
"820552","38900","15976"
"718334","38901","15976"
"718276","38902","15976"
"820568","38903","15976"
"820535","38904","15976"
"718319","38905","15976"
"827166","40161","15976"
"831292","40163","15976"
"831270","40164","15976"
"840514","40211","15976"
"842625","40214","15976"
"828507","41896","15976"
"825962","40208","15976"
"820760","42870","15976"
"820741","42871","15976"
"718430","42872","15976"
"820725","42873","15976"
"820709","42874","15976"
"820635","42875","15976"
"828587","35060","15976"
"840868","40201","15976"
"840887","25356","15976"
"840907","25415","15976"
"840926","25414","15976"
"841736","40166","15976"
"841716","40165","15976"
"841755","40170","15976"
"843886","28459","15976"
"843923","34069","15976"
"843940","34068","15976"
"942477","50229","15976"
"936121","26727","15976"
"854197","40153","15976"
"892557","41897","15976"
"840848","40188","15976"
"831195","40157","15976"
"831221","40158","15976"
"827086","25405","15976"
"827143","40162","15976"
"891851","25923","15976"
"843904","28360","15976"
"757632","46036","15976"
"758763","46114","15976"
"758721","46115","15976"
"758825","46116","15976"
"758703","46117","15976"
"820615","42876","15976"
"936142","26728","15976"
"936159","26729","15976"
"936180","26731","15976"
"940869","40488","15976"
"940953","40218","15976"
"940995","40219","15976"
"941374","40226","15976"
"941037","40220","15976"
"941079","25948","15976"
"941122","25957","15976"
"941165","25958","15976"
"941208","26719","15976"
"941312","40222","15976"
"941396","25556","15976"
"941439","26711","15976"
"941502","40224","15976"
"941524","26713","15976"
"941567","40223","15976"
"941589","33529","15976"
"941827","40150","15976"
"941869","40151","15976"
"941932","40155","15976"
"942011","26758","15976"
"942033","26750","15976"
"942213","28460","15976"
"832077","28464","15976"
"942318","33335","15976"
"942360","40242","15976"
"832303","40248","15976"
"940846","42353","15976"
"941270","40221","15976"
"936201","26732","15976"
"936240","34394","15976"
"936261","34392","15976"
"936283","40191","15976"
"936303","40202","15976"
"837329","40192","15976"
"837349","40205","15976"
"837368","40193","15976"
"837388","40198","15976"
"837407","40194","15976"
"837427","40204","15976"
"837446","40195","15976"
"934486","40206","15976"
"837485","25499","15976"
"837505","25454","15976"
"838295","40176","15976"
"838314","40177","15976"
"838334","40203","15976"
"838353","40178","15976"
"838372","40179","15976"
"838392","40181","15976"
"838412","40180","15976"
"940890","40489","15976"
"940823","42352","15976"
"940974","40216","15976"
"941016","40228","15976"
"941353","40230","15976"
"941058","40232","15976"
"941100","25944","15976"
"941143","25938","15976"
"941186","25936","15976"
"941229","26721","15976"
"941291","40234","15976"
"941333","40236","15976"
"941417","26720","15976"
"941481","40238","15976"
"941806","40149","15976"
"941848","40152","15976"
"941890","40154","15976"
"941911","40156","15976"
"941989","26751","15976"
"942054","26752","15976"
"942296","28465","15976"
"942437","40241","15976"
"843010","34416","15976"
"842989","47504","15976"
"839734","47505","15976"
"839755","47506","15976"
"843846","47507","15976"
"843826","47508","15976"
"942498","47509","15976"
"830923","47510","15976"
"842866","47511","15976"
"842846","47512","15976"
"941675","47513","15976"
"836668","47514","15976"
"842104","47515","15976"
"842084","47516","15976"
"940910","47517","15976"
"940931","47518","15976"
"789289","47661","15976"
"820687","46037","15976"
"827002","47662","15976"
"827026","47663","15976"
"909244","41894","15976"
"820665","47973","15976"
"840829","40200","15976"
"840712","40196","15976"
"840692","40190","15976"
"840672","25444","15976"
"840555","25441","15976"
"840809","40187","15976"
"840535","25440","15976"
"840790","40199","15976"
"840770","40189","15976"
"840751","40197","15976"
"840731","40186","15976"
"840653","25445","15976"
"936099","34391","15976"
"840614","34393","15976"
"840595","25443","15976"
"840575","25442","15976"
"892530","41895","15976"
"838734","48369","15976"
"817099","48370","15976"
"825833","48371","15976"
"838714","48372","15976"
"838652","48373","15976"
"825684","48374","15976"
"842125","43817","15976"
"825812","48375","15976"
"838630","48376","15976"
"838694","48377","15976"
"838672","48378","15976"
"825770","48379","15976"
"825791","48380","15976"
"838611","48381","15976"
"842065","48382","15976"
"842010","48397","15976"
"841989","48398","15976"
"911140","49598","15976"
"911119","49599","15976"
"945570","49600","15976"
"945549","49601","15976"
"911094","49606","15976"
"911073","49607","15976"
"945504","49608","15976"
"945461","49609","15976"
"911052","49612","15976"
"911030","49613","15976"
"945099","49614","15976"
"941652","49830","15976"
"842785","49831","15976"
"842764","49832","15976"
"941630","49833","15976"
"830902","49853","15976"
"840946","25416","15976"
"841775","40173","15976"
"841794","40168","15976"
"841814","40174","15976"
"841833","40172","15976"
"841853","40171","15976"
"841872","40175","15976"
"841891","40169","15976"
"841911","25355","15976"
"841931","25417","15976"
"841950","26706","15976"
"841970","26708","15976"
"842146","42351","15976"
"842187","40217","15976"
"842167","40209","15976"
"842206","40227","15976"
"842226","40225","15976"
"842264","40229","15976"
"842284","40210","15976"
"842245","40231","15976"
"842305","25935","15976"
"842325","26677","15976"
"842345","25941","15976"
"842365","26675","15976"
"842385","25943","15976"
"842405","26676","15976"
"842425","25945","15976"
"842445","26736","15976"
"842465","40213","15976"
"842485","40233","15976"
"842505","40215","15976"
"842525","40235","15976"
"842545","25953","15976"
"842565","26678","15976"
"842585","25954","15976"
"842605","26681","15976"
"842644","40237","15976"
"842664","25947","15976"
"842684","26682","15976"
"842704","40207","15976"
"842725","33527","15976"
"842745","33528","15976"
"842806","40491","15976"
"842826","40490","15976"
"842885","40495","15976"
"842902","40494","15976"
"843031","40143","15976"
"843051","40145","15976"
"843071","40144","15976"
"843091","40146","15976"
"843111","40141","15976"
"843131","40147","15976"
"843152","40142","15976"
"843172","40148","15976"
"843191","26689","15976"
"843211","25929","15976"
"843232","25925","15976"
"843252","26691","15976"
"891873","26690","15976"
"843312","25927","15976"
"843332","26692","15976"
"843376","25432","15976"
"843395","25433","15976"
"843414","25434","15976"
"843451","40212","15976"
"843470","28455","15976"
"843490","38199","15976"
"843510","38200","15976"
"843530","38197","15976"
"843550","38198","15976"
"843569","28357","15976"
"843589","28456","15976"
"843608","28358","15976"
"843628","28457","15976"
"843648","33332","15976"
"843669","33333","15976"
"936078","28359","15976"
"843709","28458","15976"
"843729","40239","15976"
"843766","40240","15976"
"843786","40245","15976"
"843806","40247","15976"
"828713","32083","15976"
"828737","32084","15976"
"838451","40183","15976"
"936323","40182","15976"
"838470","40184","15976"
"838489","40185","15976"
"838509","25548","15976"
"838529","25547","15976"
"941460","25950","15976"
"941545","26712","15976"
"941610","33530","15976"
"941715","40493","15976"
"941696","40492","15976"
"831088","40159","15976"
"831168","40160","15976"
"942096","25587","15976"
"942117","25588","15976"
"942137","25589","15976"
"942234","28461","15976"
"942255","28462","15976"
"942276","28463","15976"
"942339","33337","15976"
"942380","41356","15976"
"942417","41580","15976"
"942457","40246","15976"
"836545","50238","15976"
"836565","50239","15976"
"851076","50240","15976"
"851036","50241","15976"
"857592","51199","15976"
"857514","51196","15976"
"857712","51200","15976"
"891407","51163","15976"
"891426","51164","15976"
"863396","51807","15976"
"863379","51805","15976"
"948874","51806","15976"
"948893","51808","15976"
"863448","51809","15976"
"948934","51810","15976"
"948913","51811","15976"
"868749","51813","15976"
"948838","51814","15976"
"868733","51815","15976"
"867679","52268","15976"
"867743","52269","15976"
"892922","53824","15976"
"945481","49615","15976"
"919111","56437","15976"
"919113","56438","15976"
"948819","51816","15976"
"945749","50245","15976"
"945624","57613","15976"
"945644","57614","15976"
"945667","57615","15976"
"945688","57616","15976"
"945711","57617","15976"
"945774","57619","15976"
"945815","57620","15976"
"945839","57621","15976"
"945860","57622","15976"
"945881","57623","15976"
"967006","57820","15976"
"948978","57821","15976"
"966054","58591","15976"
"966075","58592","15976"
"966096","58593","15976"
"966117","58594","15976"
"966188","58597","15976"
"966209","58598","15976"
"966272","58601","15976"
"966293","58602","15976"
"966357","58605","15976"
"966378","58606","15976"
"976435","59072","15976"
"976463","59073","15976"
"976687","59102","15976"
"976658","59103","15976"
